n_sim,p_max,w_max,gamma,delta,T,seed,time,obj,schedule,deferred
25,20,10,0,0.3,50,0,2.7894973754882812e-05,22,"['A3', 'A4', 'A5', 'A6', 'A8', 'A9', 'A10', 'A11', 'A12', 'A13', 'A15', 'A16', 'A17', 'A19', 'A20', 'A22', 'A23', 'A24', 'A25']","['A1', 'A2', 'A7', 'A14', 'A18', 'A21']"
25,20,10,0,0.3,50,1,2.47955322265625e-05,31,"['A1', 'A3', 'A6', 'A8', 'A9', 'A10', 'A11', 'A16', 'A17', 'A19', 'A20', 'A21', 'A22', 'A24', 'A25']","['A2', 'A4', 'A5', 'A7', 'A12', 'A13', 'A14', 'A15', 'A18', 'A23']"
25,20,10,0,0.3,50,2,2.5033950805664062e-05,23,"['A3', 'A4', 'A7', 'A8', 'A11', 'A12', 'A13', 'A14', 'A15', 'A17', 'A20', 'A21', 'A22', 'A23', 'A24', 'A25']","['A1', 'A2', 'A5', 'A6', 'A9', 'A10', 'A16', 'A18', 'A19']"
25,20,10,0,0.3,50,3,2.4080276489257812e-05,40,"['A6', 'A8', 'A9', 'A10', 'A11', 'A12', 'A13', 'A15', 'A17', 'A18', 'A19', 'A21', 'A23', 'A24', 'A25']","['A1', 'A2', 'A3', 'A4', 'A5', 'A7', 'A14', 'A16', 'A20', 'A22']"
25,20,10,0,0.3,50,4,2.384185791015625e-05,45,"['RMA', 'A7', 'A9', 'A10', 'A11', 'A12', 'A13', 'A14', 'A15', 'A16', 'A17', 'A18', 'A19', 'A20', 'A21', 'A22', 'A23', 'A24', 'A25']","['A1', 'A2', 'A3', 'A4', 'A5', 'A6', 'A8']"
25,20,10,0,0.3,50,5,2.193450927734375e-05,30,"['A3', 'A5', 'A6', 'A7', 'A10', 'A11', 'A12', 'A13', 'A15', 'A17', 'A19', 'A23', 'A24', 'A25']","['A1', 'A2', 'A4', 'A8', 'A9', 'A14', 'A16', 'A18', 'A20', 'A21', 'A22']"
25,20,10,0,0.3,50,6,2.384185791015625e-05,26,"['A2', 'A3', 'A5', 'A6', 'A7', 'A8', 'A10', 'A11', 'A13', 'A15', 'A16', 'A19', 'A22', 'A23', 'A24', 'A25']","['A1', 'A4', 'A9', 'A12', 'A14', 'A17', 'A18', 'A20', 'A21']"
25,20,10,0,0.3,50,7,2.09808349609375e-05,40,"['A3', 'A4', 'A5', 'A6', 'A10', 'A11', 'A14', 'A17', 'A19', 'A20', 'A21', 'A22', 'A23', 'A24', 'A25']","['A1', 'A2', 'A7', 'A8', 'A9', 'A12', 'A13', 'A15', 'A16', 'A18']"
25,20,10,0,0.3,50,8,2.312660217285156e-05,48,"['A3', 'A6', 'A7', 'A9', 'A10', 'A12', 'A13', 'A16', 'A17', 'A18', 'A19', 'A20', 'A21', 'A23', 'A24']","['A1', 'A2', 'A4', 'A5', 'A8', 'A11', 'A14', 'A15', 'A22', 'A25']"
25,20,10,0,0.3,50,9,2.2172927856445312e-05,30,"['A3', 'A4', 'A7', 'A8', 'A10', 'A12', 'A13', 'A14', 'A18', 'A19', 'A20', 'A21', 'A22', 'A23', 'A24', 'A25']","['A1', 'A2', 'A5', 'A6', 'A9', 'A11', 'A15', 'A16', 'A17']"
25,20,10,0,0.3,50,10,2.7179718017578125e-05,49,"['A4', 'A5', 'A7', 'A9', 'A13', 'A14', 'A16', 'A18', 'A20', 'A21', 'A22', 'A24', 'A25']","['A1', 'A2', 'A3', 'A6', 'A8', 'A10', 'A11', 'A12', 'A15', 'A17', 'A19', 'A23']"
25,20,10,0,0.3,50,11,2.002716064453125e-05,27,"['A1', 'A5', 'A6', 'A8', 'A9', 'A10', 'A12', 'A13', 'A14', 'A16', 'A17', 'A18', 'A19', 'A21', 'A24', 'A25']","['A2', 'A3', 'A4', 'A7', 'A11', 'A15', 'A20', 'A22', 'A23']"
25,20,10,0,0.3,50,12,2.4080276489257812e-05,30,"['A2', 'A6', 'RMA', 'A8', 'A9', 'A10', 'A12', 'A13', 'A14', 'A15', 'A17', 'A18', 'A19', 'A20', 'A21', 'A22', 'A24', 'A25']","['A1', 'A3', 'A4', 'A5', 'A7', 'A11', 'A16', 'A23']"
25,20,10,0,0.3,50,13,2.09808349609375e-05,35,"['A6', 'A8', 'A9', 'A10', 'A11', 'A13', 'A14', 'A15', 'A16', 'A17', 'A18', 'A19', 'A20', 'A22', 'A23', 'A24', 'A25']","['A1', 'A2', 'A3', 'A4', 'A5', 'A7', 'A12', 'A21']"
