n_sim,p_max,w_max,gamma,delta,T,seed,time,obj,constr,schedule,deferred
25,20,10,1,0.3,50,0,0.0016021728515625,-99999,-99999,[],[]
25,20,10,1,0.3,50,1,0.0016882419586181,-99999,-99999,[],[]
25,20,10,1,0.3,50,2,0.0013611316680908,-99999,-99999,[],[]
25,20,10,1,0.3,50,3,0.0014200210571289,-99999,-99999,[],[]
25,20,10,1,0.3,50,4,0.0015089511871337,-99999,-99999,[],[]
25,20,10,1,0.3,50,5,0.0015840530395507,-99999,-99999,[],[]
25,20,10,1,0.3,50,6,0.0013959407806396,-99999,-99999,[],[]
25,20,10,1,0.3,50,7,0.0014581680297851,92,15,"['B4', 'B5', 'A6', 'B7', 'B8', 'B9', 'RMA', 'B10', 'B11', 'B12', 'B13', 'B14', 'A20', 'A21', 'B15', 'B16', 'A22', 'B17', 'A23', 'B18', 'B19', 'B21', 'B22', 'B23', 'A25', 'B24', 'B25']","['B1', 'A1', 'A2', 'B2', 'B3', 'A3', 'A4', 'A5', 'B6', 'A7', 'A8', 'A9', 'A10', 'A11', 'A12', 'A13', 'A14', 'A15', 'A16', 'A17', 'A18', 'A19', 'B20', 'A24']"
25,20,10,1,0.3,50,8,0.0016572475433349,-99999,-99999,[],[]
25,20,10,1,0.3,50,9,0.0015232563018798,-99999,-99999,[],[]
25,20,10,1,0.3,50,10,0.0017430782318115,-99999,-99999,[],[]
25,20,10,1,0.3,50,11,0.0013880729675292,85,15,"['B2', 'B3', 'B5', 'RMA', 'B6', 'A8', 'A9', 'B7', 'B8', 'B9', 'A12', 'B11', 'B12', 'A14', 'B13', 'B14', 'B15', 'A16', 'B16', 'A18', 'A19', 'B17', 'A24', 'B20', 'A25', 'B21', 'B22', 'B23', 'B25']","['B1', 'A1', 'A2', 'B4', 'A3', 'A4', 'A5', 'A6', 'A7', 'A10', 'A11', 'B10', 'A13', 'A15', 'A17', 'A20', 'A21', 'A22', 'B18', 'B19', 'A23', 'B24']"
25,20,10,1,0.3,50,12,0.0013418197631835,-99999,-99999,[],[]
25,20,10,1,0.3,50,13,0.0014429092407226,-99999,-99999,[],[]
25,20,10,1,0.3,50,14,0.0012042522430419,-99999,-99999,[],[]
25,20,10,1,0.3,50,15,0.0014312267303466,-99999,-99999,[],[]
25,20,10,1,0.3,50,16,0.0013000965118408,-99999,-99999,[],[]
25,20,10,1,0.3,50,17,0.0013999938964843,-99999,-99999,[],[]
25,20,10,1,0.3,50,18,0.0014081001281738,-99999,-99999,[],[]
25,20,10,1,0.3,50,19,0.0013291835784912,-99999,-99999,[],[]
25,20,10,1,0.3,50,20,0.0015709400177001,-99999,-99999,[],[]
25,20,10,1,0.3,50,21,0.0013027191162109,-99999,-99999,[],[]
25,20,10,1,0.3,50,22,0.0015640258789062,-99999,-99999,[],[]
25,20,10,1,0.3,50,23,0.0015349388122558,-99999,-99999,[],[]
25,20,10,1,0.3,50,24,0.0013530254364013,-99999,-99999,[],[]
25,20,10,1,0.3,50,25,0.0013840198516845,-99999,-99999,[],[]
25,20,10,1,0.3,50,26,0.0016121864318847,-99999,-99999,[],[]
25,20,10,1,0.3,50,27,0.0013370513916015,-99999,-99999,[],[]
25,20,10,1,0.3,50,28,0.0013179779052734,-99999,-99999,[],[]
25,20,10,1,0.3,50,29,0.0013859272003173,-99999,-99999,[],[]
25,20,10,1,0.6,50,0,0.0016958713531494,-99999,-99999,[],[]
25,20,10,1,0.6,50,1,0.0014510154724121,-99999,-99999,[],[]
25,20,10,1,0.6,50,2,0.0013399124145507,1,15,"['A1', 'B2', 'A3', 'A4', 'B3', 'RMA', 'A5', 'B4', 'A6', 'B5', 'A7', 'A8', 'A9', 'A10', 'B6', 'B7', 'B8', 'A11', 'B9', 'B10', 'A12', 'B11', 'A13', 'B13', 'B14', 'B16', 'B17', 'A14', 'A15', 'A16', 'A17', 'A18', 'B18', 'A19', 'B19', 'B20', 'A20', 'B21', 'B22', 'A21', 'A22', 'B24', 'A23', 'A24', 'B25', 'A25']","['A2', 'B1', 'B12', 'B15', 'B23']"
25,20,10,1,0.6,50,3,0.0013890266418457,8,15,"['B1', 'A2', 'B2', 'A3', 'B5', 'RMA', 'A4', 'A5', 'A6', 'A7', 'B6', 'B8', 'B9', 'A8', 'A9', 'B10', 'B11', 'A10', 'A11', 'A12', 'A13', 'B12', 'B13', 'B14', 'B15', 'B17', 'A14', 'A15', 'A16', 'A17', 'B18', 'B19', 'A18', 'B20', 'B21', 'B22', 'A19', 'B23', 'A20', 'B24', 'A21', 'A22', 'B25', 'A23', 'A24', 'A25']","['A1', 'B3', 'B4', 'B7', 'B16']"
25,20,10,1,0.6,50,4,0.0014209747314453,20,15,"['B1', 'B2', 'A3', 'A4', 'RMA', 'B4', 'A5', 'A6', 'A8', 'B6', 'A9', 'B7', 'A10', 'A11', 'B8', 'B9', 'B10', 'B11', 'A13', 'A14', 'B12', 'B13', 'A15', 'A16', 'B15', 'A17', 'A18', 'A19', 'A20', 'A21', 'A22', 'B16', 'B17', 'B18', 'B19', 'B20', 'B22', 'B23', 'B24', 'A23', 'B25', 'A24', 'A25']","['A1', 'A2', 'B3', 'A7', 'B5', 'A12', 'B14', 'B21']"
25,20,10,1,0.6,50,5,0.0014979839324951,7,15,"['A2', 'B2', 'RMA', 'A4', 'A5', 'A6', 'B6', 'B7', 'A7', 'A8', 'A9', 'A10', 'A11', 'A12', 'B10', 'A13', 'B11', 'B12', 'A14', 'A15', 'A16', 'B13', 'B14', 'B15', 'B16', 'B17', 'A18', 'B19', 'B20', 'A19', 'A20', 'B21', 'A21', 'A22', 'A23', 'B23', 'B24', 'B25', 'A24', 'A25']","['A1', 'B1', 'A3', 'B3', 'B4', 'B5', 'B8', 'B9', 'A17', 'B18', 'B22']"
