n_sim,p_max,w_max,alpha,beta,T,seed,time,obj,schedule,deferred
25,20,10,0,0.3,50,0,0.0489189624786376,233,"['A2', 'B3', 'A6', 'B8', 'A8', 'A9', 'A10', 'B10', 'A13', 'A14', 'A15', 'A16', 'B19', 'A17', 'A19', 'A20', 'A21', 'A22', 'A25']","['B1', 'A1', 'B2', 'A3', 'B4', 'B5', 'B6', 'B7', 'A4', 'A5', 'A7', 'B9', 'A11', 'A12', 'B11', 'B12', 'B13', 'B14', 'B15', 'B16', 'B17', 'B18', 'B20', 'B21', 'B22', 'B23', 'B24', 'A18', 'A23', 'A24', 'B25']"
25,20,10,0,0.3,50,1,0.0483441352844238,253,"['A1', 'A4', 'B7', 'A6', 'A8', 'A9', 'A13', 'A15', 'A17', 'A19', 'A20', 'A21', 'A22', 'A24', 'A25']","['B1', 'B2', 'A2', 'B3', 'B4', 'A3', 'B5', 'B6', 'A5', 'A7', 'B8', 'B9', 'B10', 'B11', 'A10', 'A11', 'B12', 'A12', 'B13', 'B14', 'A14', 'B15', 'B16', 'B17', 'B18', 'A16', 'B19', 'B20', 'A18', 'B21', 'B22', 'B23', 'B24', 'A23', 'B25']"
25,20,10,0,0.3,50,2,0.045076847076416,245,"['B2', 'A2', 'B8', 'A5', 'A11', 'A12', 'A13', 'A14', 'A15', 'B18', 'A20', 'A21', 'A22', 'A23', 'B21', 'A24', 'A25']","['B1', 'A1', 'B3', 'A3', 'A4', 'B4', 'B5', 'B6', 'B7', 'B9', 'B10', 'A6', 'B11', 'A7', 'A8', 'A9', 'A10', 'B12', 'B13', 'B14', 'B15', 'B16', 'A16', 'A17', 'B17', 'A18', 'B19', 'A19', 'B20', 'B22', 'B23', 'B24', 'B25']"
25,20,10,0,0.3,50,3,0.0485279560089111,386,"['B5', 'A6', 'A7', 'A8', 'B8', 'A10', 'A11', 'A13', 'A15', 'B15', 'A17', 'A18', 'A21', 'B19', 'B20', 'A23', 'B21', 'A24', 'B22', 'B23', 'B25']","['A1', 'A2', 'B1', 'B2', 'B3', 'A3', 'A4', 'B4', 'B6', 'A5', 'B7', 'A9', 'B9', 'A12', 'B10', 'B11', 'B12', 'A14', 'B13', 'A16', 'B14', 'B16', 'A19', 'A20', 'B17', 'B18', 'A22', 'A25', 'B24']"
25,20,10,0,0.3,50,4,0.0485041141510009,299,"['A2', 'A6', 'A7', 'A9', 'A10', 'A11', 'A13', 'B13', 'B16', 'A17', 'A18', 'B19', 'A20', 'A22', 'A23', 'A24']","['B1', 'A1', 'B2', 'A3', 'B3', 'B4', 'B5', 'B6', 'A4', 'A5', 'B7', 'B8', 'A8', 'B9', 'B10', 'B11', 'A12', 'B12', 'B14', 'B15', 'A14', 'A15', 'A16', 'B17', 'B18', 'A19', 'B20', 'B21', 'A21', 'B22', 'B23', 'B24', 'B25', 'A25']"
25,20,10,0,0.3,50,5,0.067828893661499,249,"['A3', 'A7', 'A9', 'A10', 'A11', 'A12', 'B16', 'A13', 'A18', 'A19', 'A20', 'A23', 'A24', 'A25']","['A1', 'A2', 'B1', 'A4', 'B2', 'B3', 'B4', 'B5', 'B6', 'B7', 'B8', 'A5', 'B9', 'A6', 'B10', 'B11', 'A8', 'B12', 'B13', 'B14', 'B15', 'B17', 'B18', 'A14', 'B19', 'A15', 'A16', 'B20', 'B21', 'B22', 'A17', 'A21', 'A22', 'B23', 'B24', 'B25']"
25,20,10,0,0.3,50,6,0.0665822029113769,265,"['A3', 'A5', 'A6', 'A7', 'A8', 'A12', 'A13', 'A14', 'B14', 'B17', 'A17', 'A19', 'B22', 'B24', 'A22', 'B25', 'A24', 'A25']","['B1', 'A1', 'B2', 'B3', 'A2', 'B4', 'A4', 'B5', 'B6', 'B7', 'B8', 'B9', 'B10', 'B11', 'A9', 'B12', 'A10', 'B13', 'A11', 'B15', 'A15', 'A16', 'B16', 'B18', 'A18', 'A20', 'B19', 'B20', 'B21', 'A21', 'B23', 'A23']"
25,20,10,0,0.3,50,7,0.0847570896148681,289,"['B4', 'A3', 'A4', 'B5', 'A5', 'A6', 'A8', 'A15', 'A17', 'A19', 'B14', 'A20', 'A21', 'A22', 'A23', 'B19', 'B21', 'B23', 'A24', 'A25', 'B25']","['B1', 'A1', 'A2', 'B2', 'B3', 'B6', 'A7', 'B7', 'B8', 'A9', 'A10', 'A11', 'A12', 'A13', 'A14', 'B9', 'A16', 'B10', 'B11', 'A18', 'B12', 'B13', 'B15', 'B16', 'B17', 'B18', 'B20', 'B22', 'B24']"
25,20,10,0,0.3,50,8,0.0938789844512939,514,"['B2', 'A7', 'A9', 'A10', 'A12', 'B6', 'A13', 'A16', 'A17', 'A18', 'A20', 'A21', 'A22', 'A24', 'A25', 'B24']","['A1', 'B1', 'A2', 'A3', 'A4', 'A5', 'A6', 'A8', 'B3', 'A11', 'B4', 'B5', 'B7', 'B8', 'B9', 'B10', 'B11', 'B12', 'A14', 'A15', 'B13', 'B14', 'B15', 'B16', 'A19', 'B17', 'B18', 'B19', 'A23', 'B20', 'B21', 'B22', 'B23', 'B25']"
25,20,10,0,0.3,50,9,0.0682168006896972,258,"['A3', 'A4', 'A5', 'A8', 'A10', 'A18', 'A19', 'A20', 'B18', 'A21', 'A22', 'A23', 'A24', 'B23', 'B24', 'A25']","['A1', 'A2', 'B1', 'B2', 'B3', 'B4', 'B5', 'B6', 'B7', 'B8', 'B9', 'B10', 'A6', 'A7', 'A9', 'B11', 'B12', 'B13', 'A11', 'A12', 'A13', 'B14', 'A14', 'B15', 'A15', 'B16', 'A16', 'A17', 'B17', 'B19', 'B20', 'B21', 'B22', 'B25']"
