n_sim,p_max,w_max,alpha,beta,T,seed,time,obj,schedule,deferred
25,20,10,0,0.3,50,0,0.0024330615997314,97,"['A2', 'A5', 'A6', 'A8', 'A9', 'A10', 'A11', 'A12', 'A13', 'A14', 'A15', 'A16', 'A17', 'A19', 'A20', 'A21', 'A22', 'A23', 'A25']","['A1', 'A3', 'A4', 'A7', 'A18', 'A24']"
25,20,10,0,0.3,50,1,0.0024218559265136,79,"['A1', 'A4', 'A6', 'A8', 'A9', 'A10', 'A12', 'A13', 'A15', 'A17', 'A19', 'A20', 'A21', 'A22', 'A24', 'A25']","['A2', 'A3', 'A5', 'A7', 'A11', 'A14', 'A16', 'A18', 'A23']"
25,20,10,0,0.3,50,2,0.002734899520874,127,"['A2', 'A4', 'A5', 'A11', 'A12', 'A13', 'A14', 'A15', 'A20', 'A21', 'A22', 'A23', 'A24', 'A25']","['A1', 'A3', 'A6', 'A7', 'A8', 'A9', 'A10', 'A16', 'A17', 'A18', 'A19']"
25,20,10,0,0.3,50,3,0.0024738311767578,311,"['A6', 'A7', 'A8', 'A10', 'A11', 'A12', 'A13', 'A15', 'A17', 'A18', 'A20', 'A21', 'A23', 'A24', 'A25']","['A1', 'A2', 'A3', 'A4', 'A5', 'A9', 'A14', 'A16', 'A19', 'A22']"
25,20,10,0,0.3,50,4,0.0026261806488037,164,"['A2', 'A6', 'A7', 'A8', 'A9', 'A10', 'A11', 'A13', 'A17', 'A18', 'A20', 'A22', 'A23', 'A24']","['A1', 'A3', 'A4', 'A5', 'A12', 'A14', 'A15', 'A16', 'A19', 'A21', 'A25']"
25,20,10,0,0.3,50,5,0.0027458667755126,130,"['A3', 'A7', 'A9', 'A10', 'A11', 'A12', 'A13', 'A18', 'A19', 'A20', 'A23', 'A24', 'A25']","['A1', 'A2', 'A4', 'A5', 'A6', 'A8', 'A14', 'A15', 'A16', 'A17', 'A21', 'A22']"
25,20,10,0,0.3,50,6,0.0028750896453857,142,"['A3', 'A5', 'A6', 'A7', 'A8', 'A12', 'A13', 'A14', 'A17', 'A19', 'A21', 'A22', 'A24', 'A25']","['A1', 'A2', 'A4', 'A9', 'A10', 'A11', 'A15', 'A16', 'A18', 'A20', 'A23']"
25,20,10,0,0.3,50,7,0.0026979446411132,206,"['A3', 'A4', 'A5', 'A6', 'A8', 'A15', 'A17', 'A19', 'A20', 'A21', 'A22', 'A23', 'A24', 'A25']","['A1', 'A2', 'A7', 'A9', 'A10', 'A11', 'A12', 'A13', 'A14', 'A16', 'A18']"
25,20,10,0,0.3,50,8,0.0026280879974365,360,"['A4', 'A7', 'A9', 'A10', 'A12', 'A13', 'A16', 'A17', 'A18', 'A19', 'A20', 'A21', 'A22', 'A24', 'A25']","['A1', 'A2', 'A3', 'A5', 'A6', 'A8', 'A11', 'A14', 'A15', 'A23']"
25,20,10,0,0.3,50,9,0.0026080608367919,147,"['A3', 'A4', 'A5', 'A8', 'A10', 'A12', 'A14', 'A18', 'A20', 'A21', 'A22', 'A23', 'A24', 'A25']","['A1', 'A2', 'A6', 'A7', 'A9', 'A11', 'A13', 'A15', 'A16', 'A17', 'A19']"
25,20,10,0,0.3,50,10,0.0030701160430908,210,"['A4', 'A5', 'A7', 'A9', 'A14', 'A15', 'A16', 'A18', 'A20', 'A21', 'A22', 'A24', 'A25']","['A1', 'A2', 'A3', 'A6', 'A8', 'A10', 'A11', 'A12', 'A13', 'A17', 'A19', 'A23']"
25,20,10,0,0.3,50,11,0.0026717185974121,191,"['A5', 'A6', 'A9', 'A10', 'A11', 'A13', 'A14', 'A17', 'A20', 'A21', 'A24', 'A25']","['A1', 'A2', 'A3', 'A4', 'A7', 'A8', 'A12', 'A15', 'A16', 'A18', 'A19', 'A22', 'A23']"
25,20,10,0,0.3,50,12,0.0026140213012695,127,"['A2', 'A4', 'A6', 'A10', 'A11', 'A13', 'A14', 'A15', 'A17', 'A18', 'A19', 'A20', 'A22', 'A23', 'A24', 'A25']","['A1', 'A3', 'A5', 'A7', 'A8', 'A9', 'A12', 'A16', 'A21']"
25,20,10,0,0.3,50,13,0.0022478103637695,198,"['A4', 'A5', 'A8', 'A9', 'A12', 'A14', 'A15', 'A16', 'A17', 'A18', 'A19', 'A20', 'A22', 'A23', 'A24', 'A25']","['A1', 'A2', 'A3', 'A6', 'A7', 'A10', 'A11', 'A13', 'A21']"
25,20,10,0,0.3,50,14,0.0023202896118164,229,"['A2', 'A8', 'A10', 'A12', 'A13', 'A15', 'A16', 'A17', 'A21', 'A22', 'A24', 'A25']","['A1', 'A3', 'A4', 'A5', 'A6', 'A7', 'A9', 'A11', 'A14', 'A18', 'A19', 'A20', 'A23']"
25,20,10,0,0.3,50,15,0.002439260482788,212,"['A4', 'A5', 'A8', 'A11', 'A14', 'A15', 'A16', 'A17', 'A20', 'A21', 'A22', 'A24', 'A25']","['A1', 'A2', 'A3', 'A6', 'A7', 'A9', 'A10', 'A12', 'A13', 'A18', 'A19', 'A23']"
25,20,10,0,0.3,50,16,0.0021171569824218,120,"['A3', 'A4', 'A5', 'A6', 'A7', 'A9', 'A11', 'A13', 'A14', 'A16', 'A17', 'A18', 'A19', 'A20', 'A23', 'A24', 'A25']","['A1', 'A2', 'A8', 'A10', 'A12', 'A15', 'A21', 'A22']"
25,20,10,0,0.3,50,17,0.0023772716522216,120,"['A4', 'A9', 'A10', 'A11', 'A13', 'A14', 'A16', 'A18', 'A20', 'A21', 'A22', 'A23', 'A24', 'A25']","['A1', 'A2', 'A3', 'A5', 'A6', 'A7', 'A8', 'A12', 'A15', 'A17', 'A19']"
