n_sim,p_max,w_max,gamma,delta,T,seed,time,obj,constr,schedule,deferred
10,20,10,1,0.3,50,0,0.0220708847045898,-99999,-99999,[],[]
10,20,10,1,0.3,50,1,0.0216901302337646,-99999,-99999,[],[]
10,20,10,1,0.3,50,2,0.0253796577453613,-99999,-99999,[],[]
10,20,10,1,0.3,50,3,0.0253689289093017,-99999,-99999,[],[]
10,20,10,1,0.3,50,4,0.0305049419403076,-99999,-99999,[],[]
10,20,10,1,0.3,50,5,0.0317761898040771,-99999,-99999,[],[]
10,20,10,1,0.3,50,6,0.0303740501403808,-99999,-99999,[],[]
10,20,10,1,0.3,50,7,0.0304887294769287,-99999,-99999,[],[]
10,20,10,1,0.3,50,8,0.0285401344299316,-99999,-99999,[],[]
10,20,10,1,0.3,50,9,0.0252401828765869,-99999,-99999,[],[]
10,20,10,1,0.3,50,10,0.0323662757873535,-99999,-99999,[],[]
10,20,10,1,0.3,50,11,0.0305900573730468,-99999,-99999,[],[]
10,20,10,1,0.3,50,12,0.0267798900604248,-99999,-99999,[],[]
10,20,10,1,0.3,50,13,0.0241580009460449,-99999,-99999,[],[]
10,20,10,1,0.3,50,14,0.0260241031646728,-99999,-99999,[],[]
10,20,10,1,0.3,50,15,0.0236537456512451,-99999,-99999,[],[]
10,20,10,1,0.3,50,16,0.0213208198547363,-99999,-99999,[],[]
10,20,10,1,0.3,50,17,0.0254840850830078,-99999,-99999,[],[]
10,20,10,1,0.3,50,18,0.0229871273040771,-99999,-99999,[],[]
10,20,10,1,0.3,50,19,0.0230839252471923,-99999,-99999,[],[]
10,20,10,1,0.3,50,20,0.0338249206542968,-99999,-99999,[],[]
10,20,10,1,0.3,50,21,0.022209882736206,-99999,-99999,[],[]
10,20,10,1,0.3,50,22,0.0282349586486816,-99999,-99999,[],[]
10,20,10,1,0.3,50,23,0.0292057991027832,-99999,-99999,[],[]
10,20,10,1,0.3,50,24,0.0203282833099365,-99999,-99999,[],[]
10,20,10,1,0.3,50,25,0.0283248424530029,-99999,-99999,[],[]
10,20,10,1,0.3,50,26,0.0318710803985595,-99999,-99999,[],[]
10,20,10,1,0.3,50,27,0.0251111984252929,-99999,-99999,[],[]
10,20,10,1,0.3,50,28,0.0221209526062011,-99999,-99999,[],[]
10,20,10,1,0.3,50,29,0.0261480808258056,-99999,-99999,[],[]
10,20,10,1,0.6,50,0,0.0217881202697753,-99999,-99999,[],[]
10,20,10,1,0.6,50,1,0.034862995147705,-99999,-99999,[],[]
10,20,10,1,0.6,50,2,0.0317409038543701,-99999,-99999,[],[]
10,20,10,1,0.6,50,3,0.0241158008575439,58,6,"['B3', 'A2', 'B4', 'B5', 'B7', 'B8', 'B9', 'A8', 'A9', 'B10', 'A10']","['A1', 'B1', 'B2', 'A3', 'A4', 'B6', 'A5', 'A6', 'A7']"
10,20,10,1,0.6,50,4,0.029891014099121,156,4,"['B2', 'A4', 'A5', 'B3', 'B4', 'A8', 'B5', 'A9', 'B6', 'B7', 'A10', 'B8']","['A1', 'B1', 'A2', 'A3', 'A6', 'A7', 'B9', 'B10']"
10,20,10,1,0.6,50,5,0.0308320522308349,302,6,"['A3', 'B2', 'B3', 'B4', 'A5', 'A6', 'A7', 'B7', 'A9', 'B8', 'B9', 'B10']","['A1', 'A2', 'A4', 'B1', 'B5', 'B6', 'A8', 'A10']"
10,20,10,1,0.6,50,6,0.0271589756011962,213,6,"['B3', 'B4', 'B5', 'B6', 'B8', 'B9', 'B10', 'A7', 'A9']","['B1', 'A1', 'A2', 'B2', 'A3', 'A4', 'B7', 'A5', 'A6', 'A8', 'A10']"
10,20,10,1,0.6,50,7,0.0293679237365722,-99999,-99999,[],[]
