n_sim,p_max,w_max,alpha,beta,T,seed,time,obj,constr,schedule,deferred
10,20,10,1,0.3,50,0,0.1611599922180175,-99999,-99999,[],[]
10,20,10,1,0.3,50,1,0.1657500267028808,-99999,-99999,[],[]
10,20,10,1,0.3,50,2,0.1877310276031494,-99999,-99999,[],[]
10,20,10,1,0.3,50,3,0.1968152523040771,-99999,-99999,[],[]
10,20,10,1,0.3,50,4,0.181800365447998,-99999,-99999,[],[]
10,20,10,1,0.3,50,5,0.206028938293457,-99999,-99999,[],[]
10,20,10,1,0.3,50,6,0.1925880908966064,-99999,-99999,[],[]
10,20,10,1,0.3,50,7,0.2020990848541259,-99999,-99999,[],[]
10,20,10,1,0.3,50,8,0.1988749504089355,-99999,-99999,[],[]
10,20,10,1,0.3,50,9,0.189512014389038,-99999,-99999,[],[]
10,20,10,1,0.3,50,10,0.2228381633758545,-99999,-99999,[],[]
10,20,10,1,0.3,50,11,0.1721382141113281,287,31,"['B2', 'B3', 'B4', 'B6', 'B7', 'B9', 'B10', 'A9']","['A1', 'B1', 'A2', 'A3', 'A4', 'A5', 'A6', 'A7', 'B5', 'A8', 'B8', 'A10']"
10,20,10,1,0.3,50,12,0.1947588920593261,-99999,-99999,[],[]
10,20,10,1,0.3,50,13,0.1593129634857177,355,23,"['B1', 'B2', 'B4', 'A6', 'B5', 'B7', 'B9', 'B10']","['A1', 'B3', 'A2', 'A3', 'A4', 'A5', 'B6', 'B8', 'A7', 'A8', 'A9', 'A10']"
10,20,10,1,0.3,50,14,0.1801939010620117,-99999,-99999,[],[]
10,20,10,1,0.3,50,15,0.1710312366485595,-99999,-99999,[],[]
10,20,10,1,0.3,50,16,0.1297547817230224,78,31,"['B1', 'B2', 'B5', 'B6', 'B7', 'A7', 'B10', 'A9', 'A10']","['A1', 'A2', 'A3', 'A4', 'B3', 'B4', 'A5', 'A6', 'B8', 'A8', 'B9']"
10,20,10,1,0.3,50,17,0.1884121894836425,-99999,-99999,[],[]
10,20,10,1,0.3,50,18,0.1900010108947754,-99999,-99999,[],[]
10,20,10,1,0.3,50,19,0.1638410091400146,-99999,-99999,[],[]
10,20,10,1,0.3,50,20,0.2065880298614502,-99999,-99999,[],[]
10,20,10,1,0.3,50,21,0.1627340316772461,431,31,"['B5', 'B6', 'B7', 'A5', 'B9', 'B10', 'A9']","['B1', 'B2', 'A1', 'A2', 'A3', 'B3', 'B4', 'A4', 'A6', 'A7', 'B8', 'A8', 'A10']"
10,20,10,1,0.3,50,22,0.204190969467163,-99999,-99999,[],[]
10,20,10,1,0.3,50,23,0.2159459590911865,-99999,-99999,[],[]
10,20,10,1,0.3,50,24,0.1662051677703857,-99999,-99999,[],[]
10,20,10,1,0.3,50,25,0.1735219955444336,-99999,-99999,[],[]
10,20,10,1,0.3,50,26,0.1871519088745117,-99999,-99999,[],[]
10,20,10,1,0.3,50,27,0.2010810375213623,-99999,-99999,[],[]
10,20,10,1,0.3,50,28,0.1578741073608398,-99999,-99999,[],[]
10,20,10,1,0.3,50,29,0.1897017955780029,-99999,-99999,[],[]
10,20,10,1,0.6,50,0,0.1628608703613281,-99999,-99999,[],[]
10,20,10,1,0.6,50,1,0.1627724170684814,149,27,"['B3', 'B4', 'B5', 'B7', 'B8', 'A6', 'A7', 'B9', 'A9', 'A10', 'B10']","['B1', 'A1', 'B2', 'A2', 'A3', 'A4', 'B6', 'A5', 'A8']"
10,20,10,1,0.6,50,2,0.1873080730438232,-99999,-99999,[],[]
10,20,10,1,0.6,50,3,0.1939599514007568,62,30,"['B3', 'A2', 'B4', 'B5', 'B6', 'B7', 'B9', 'A8', 'A9', 'B10', 'A10']","['A1', 'B1', 'B2', 'A3', 'A4', 'A5', 'A6', 'B8', 'A7']"
10,20,10,1,0.6,50,4,0.1805410385131836,156,31,"['B2', 'A4', 'A5', 'B3', 'B4', 'A8', 'B5', 'A9', 'B6', 'B7', 'A10', 'B8']","['A1', 'B1', 'A2', 'A3', 'A6', 'A7', 'B9', 'B10']"
10,20,10,1,0.6,50,5,0.2114260196685791,351,27,"['B1', 'B3', 'B4', 'B5', 'B7', 'A9', 'B8', 'A10', 'B9']","['A1', 'A2', 'A3', 'A4', 'B2', 'A5', 'B6', 'A6', 'A7', 'A8', 'B10']"
10,20,10,1,0.6,50,6,0.1976318359375,-99999,-99999,[],[]
10,20,10,1,0.6,50,7,0.2059941291809082,-99999,-99999,[],[]
10,20,10,1,0.6,50,8,0.2036731243133545,227,25,"['B1', 'B3', 'B4', 'B5', 'B6', 'B7', 'B8', 'B9', 'A9']","['A1', 'A2', 'B2', 'A3', 'A4', 'A5', 'A6', 'A7', 'A8', 'B10', 'A10']"
10,20,10,1,0.6,50,9,0.1920239925384521,-99999,-99999,[],[]
10,20,10,1,0.6,50,10,0.2172389030456543,-99999,-99999,[],[]
10,20,10,1,0.6,50,11,0.1724867820739746,149,31,"['B1', 'B2', 'B3', 'B4', 'B5', 'B6', 'B7', 'A7', 'A8', 'A10', 'B9', 'B10']","['A1', 'A2', 'A3', 'A4', 'A5', 'B8', 'A6', 'A9']"
10,20,10,1,0.6,50,12,0.1907048225402832,99,19,"['B1', 'A2', 'B3', 'A5', 'A6', 'B6', 'B7', 'B9', 'A9', 'B10']","['A1', 'A3', 'B2', 'A4', 'B4', 'B5', 'A7', 'B8', 'A8', 'A10']"
10,20,10,1,0.6,50,13,0.1591711044311523,-99999,-99999,[],[]
10,20,10,1,0.6,50,14,0.1796762943267822,-99999,-99999,[],[]
10,20,10,1,0.6,50,15,0.1722340583801269,54,31,"['A1', 'B3', 'B4', 'A4', 'B6', 'B7', 'B8', 'A7', 'A9', 'B9', 'B10', 'A10']","['B1', 'B2', 'A2', 'A3', 'A5', 'B5', 'A6', 'A8']"
10,20,10,1,0.6,50,16,0.1297681331634521,24,29,"['A1', 'A2', 'B2', 'B4', 'A4', 'A5', 'B7', 'A6', 'A7', 'B8', 'A8', 'A9', 'A10']","['A3', 'B1', 'B3', 'B5', 'B6', 'B9', 'B10']"
10,20,10,1,0.6,50,17,0.1844608783721923,102,31,"['B3', 'B4', 'B5', 'B6', 'B7', 'B8', 'B10', 'A7', 'A8']","['B1', 'B2', 'A1', 'A2', 'A3', 'A4', 'A5', 'B9', 'A6', 'A9', 'A10']"
10,20,10,1,0.6,50,18,0.1903619766235351,-99999,-99999,[],[]
10,20,10,1,0.6,50,19,0.1584670543670654,-99999,-99999,[],[]
10,20,10,1,0.6,50,20,0.2115051746368408,-99999,-99999,[],[]
10,20,10,1,0.6,50,21,0.1563000679016113,126,31,"['B2', 'A3', 'B4', 'B5', 'A6', 'A7', 'B6', 'B7', 'A9', 'B9', 'A10']","['A1', 'B1', 'B3', 'A2', 'A4', 'A5', 'A8', 'B8', 'B10']"
10,20,10,1,0.6,50,22,0.2011349201202392,-99999,-99999,[],[]
10,20,10,1,0.6,50,23,0.2325289249420166,189,27,"['B1', 'B2', 'B4', 'B5', 'B6', 'A8', 'B7', 'B8', 'B9', 'A10']","['A1', 'A2', 'B3', 'A3', 'A4', 'A5', 'A6', 'A7', 'A9', 'B10']"
10,20,10,1,0.6,50,24,0.1733529567718505,146,26,"['B3', 'B4', 'A4', 'A5', 'A6', 'B6', 'B8', 'A8', 'A9', 'B10', 'A10']","['B1', 'B2', 'A1', 'B5', 'A2', 'A3', 'A7', 'B7', 'B9']"
10,20,10,1,0.6,50,25,0.1727979183197021,8,26,"['A1', 'A2', 'A3', 'A4', 'A6', 'B3', 'A7', 'A8', 'B5', 'A10', 'B8', 'B10']","['A5', 'B1', 'B2', 'B4', 'B6', 'A9', 'B7', 'B9']"
10,20,10,1,0.6,50,26,0.1890082359313964,-99999,-99999,[],[]
